Report of word frequencies in folders:  ['Adam', 'Eve', 'Sarah']
visit,Adam,Eve,Sarah
1,0.0007082,0.001894,0.01266
2,0.0003435,0.001049,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.000978,0.0,0.0
6,0.004539,0.0,0.0
7,0.0008337,0.002909,0.0
8,0.001907,0.001343,0.0
9,0.001257,0.004164,0.002375
10,0.006403,0.0005562,0.0
11,0.0003962,0.002786,0.0
12,0.0005105,0.003431,0.0
13,0.003597,0.001199,0.001912
14,0.0006592,0.004706,0.0
15,0.003719,0.002837,0.0
16,0.002846,0.004315,0.0
17,0.001837,0.002199,0.004957
18,0.0,0.003049,0.0
19,0.005626,0.003279,0.0
20,0.00108,0.0006882,0.0
21,0.0005237,,0.0
22,0.0007686,,0.0
23,0.005478,,0.0
24,0.004813,,0.007194
25,0.0007315,,0.004687
26,0.0002814,,0.0009551
27,0.005143,,0.0
28,0.004013,,0.0
29,0.0,,0.0
30,0.001025,,0.0
31,0.0,,0.0
32,0.0002947,,0.0
33,0.001821,,0.0
34,0.0006258,,0.003604
35,0.0009055,,0.0
36,0.00321,,0.004161
37,0.005854,,0.003026
38,0.0008762,,0.007968
39,0.002553,,0.0
40,0.0006616,,0.0
41,0.0,,0.004021
42,0.002189,,0.0
43,0.0007728,,0.0
44,0.001206,,0.0
45,0.0002603,,0.0
46,0.001534,,0.002472
47,0.000252,,0.001241
48,0.001034,,0.005656
49,0.003365,,0.0
50,0.0,,0.001083
51,0.0007189,,0.002967
52,0.0,,0.0
53,0.001269,,0.0
54,0.002906,,0.002786
55,0.0007918,,0.0
56,,,0.0
57,,,0.0
58,,,0.0
59,,,0.002625
60,,,0.0
61,,,0.0
62,,,0.001074
63,,,0.001122
64,,,0.0
65,,,0.0
66,,,0.001376
67,,,0.0
68,,,0.0
69,,,0.0
70,,,0.0
71,,,0.0
72,,,0.0
73,,,0.0
74,,,0.001255
75,,,0.0
76,,,0.0
77,,,0.002519
78,,,0.0
79,,,0.003058
80,,,0.0
81,,,0.0
82,,,0.0
83,,,0.0
84,,,0.0
85,,,0.001056
86,,,0.0
87,,,0.0
88,,,0.0
89,,,0.0
90,,,0.0008873
91,,,0.001776
92,,,0.0
93,,,0.0
94,,,0.0
95,,,0.005695
96,,,0.001316
97,,,0.0
98,,,0.0
99,,,0.0008065
100,,,0.0
101,,,0.0
102,,,0.0
103,,,0.003456
104,,,0.0
105,,,0.0
106,,,0.0009183
107,,,0.0
108,,,0.0
109,,,0.0
110,,,0.0
111,,,0.0
112,,,0.001121
113,,,0.0
114,,,0.0
115,,,0.002073
116,,,0.0
117,,,0.001083
118,,,0.0
119,,,0.0
120,,,0.001046
121,,,0.001038
122,,,0.0
123,,,0.0
124,,,0.0
125,,,0.0
126,,,0.0
127,,,0.001066
128,,,0.0
129,,,0.0
130,,,0.0
131,,,0.0
132,,,0.001239
133,,,0.0
134,,,0.0
135,,,0.0
136,,,0.0
137,,,0.0
138,,,0.0
139,,,0.003017
